tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-01 15:19,2023-01-01 16:09,1,10.3,247,90
2023-01-01 15:28,2023-01-01 15:31,2,0.8,159,159
2023-01-01 15:46,2023-01-01 15:54,2,1.2,159,42
2023-01-01 15:12,2023-01-01 15:19,3,0.9,250,250
2023-01-01 16:29,2023-01-01 16:57,1,4.6,47,81
2023-01-01 16:06,2023-01-01 16:28,1,8.2,69,138
2023-01-01 17:53,2023-01-01 17:59,4,1.1,31,242
2023-01-01 17:54,2023-01-01 17:58,3,0.6,174,20
2023-01-01 18:31,2023-01-01 18:50,1,3.54,94,182
2023-01-01 18:05,2023-01-01 18:06,2,0,31,31
2023-01-01 18:21,2023-01-01 19:22,1,0,250,55
2023-01-01 19:20,2023-01-01 19:52,1,4.7,69,3
2023-01-01 19:50,2023-01-01 20:33,3,29.31,241,265
2023-01-01 19:06,2023-01-01 19:26,1,6.48,220,166
2023-01-01 19:15,2023-01-01 19:38,1,2.2,213,126
2023-01-01 20:34,2023-01-01 20:57,1,6.3,182,81
2023-01-01 20:46,2023-01-01 20:56,2,1.42,60,47
2023-01-01 20:56,2023-01-01 21:04,1,1.97,168,75
2023-01-01 21:20,2023-01-01 21:38,2,5.09,18,213
2023-01-01 22:23,2023-01-01 22:37,0,11.76,168,134
2023-01-01 23:02,2023-01-01 23:10,1,1.88,213,212
2023-01-01 23:43,2023-01-01 23:57,2,2.62,119,78
2023-01-02 0:33,2023-01-02 0:33,0,0,78,78
2023-01-02 0:32,2023-01-02 0:37,1,1.11,159,167
2023-01-02 1:37,2023-01-02 1:38,1,0.12,126,126
2023-01-02 1:48,2023-01-02 1:48,2,0,247,247
2023-01-02 1:39,2023-01-02 2:11,0,19.7,247,222
2023-01-02 2:53,2023-01-02 3:04,2,0.95,240,240
2023-01-02 3:49,2023-01-02 3:58,1,2.79,247,247
2023-01-02 3:34,2023-01-02 3:55,1,11.99,20,138
