tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-01 19:06:00,2023-01-01 19:26:00,1.0,6.48,220,166
2023-01-01 19:15:00,2023-01-01 19:38:00,1.0,2.2,213,126
2023-01-01 20:34:00,2023-01-01 20:57:00,1.0,6.3,182,81
2023-01-01 20:46:00,2023-01-01 20:56:00,2.0,1.42,60,47
2023-01-01 20:56:00,2023-01-01 21:04:00,1.0,1.97,168,75
2023-01-01 21:20:00,2023-01-01 21:38:00,2.0,5.09,18,213
2023-01-01 23:02:00,2023-01-01 23:10:00,1.0,1.88,213,212
2023-01-01 23:43:00,2023-01-01 23:57:00,2.0,2.62,119,78
2023-01-02 00:32:00,2023-01-02 00:37:00,1.0,1.11,159,167
2023-01-02 01:37:00,2023-01-02 01:38:00,1.0,0.12,126,126
2023-01-02 02:53:00,2023-01-02 03:04:00,2.0,0.95,240,240
2023-01-02 03:49:00,2023-01-02 03:58:00,1.0,2.79,247,247
2023-01-02 03:34:00,2023-01-02 03:55:00,1.0,11.99,20,138
2023-01-02 05:00:00,2023-01-02 05:25:00,1.0,12.3,18,164
2023-01-02 05:51:00,2023-01-02 06:26:00,1.0,14.6,259,137
2023-01-02 05:45:00,2023-01-02 06:00:00,1.0,4.0,220,244
2023-01-02 05:53:00,2023-01-02 06:23:00,1.0,14.9,185,246
2023-01-02 06:23:00,2023-01-02 06:45:00,1.0,14.31,254,138
2023-01-02 06:04:00,2023-01-02 06:27:00,1.0,14.4,51,137
2023-01-02 06:29:00,2023-01-02 06:58:00,1.0,13.8,212,37
2023-01-02 06:08:00,2023-01-02 06:41:00,1.0,7.8,47,146
2023-01-02 06:15:00,2023-01-02 07:17:00,1.0,7.5,47,35
2023-01-02 07:32:00,2023-01-02 07:49:00,1.0,2.2,183,242
2023-01-02 07:09:00,2023-01-02 08:01:00,1.0,7.4,78,263
2023-01-02 08:19:00,2023-01-02 08:19:00,1.0,0.01,159,159
2023-01-02 08:37:00,2023-01-02 09:36:00,1.0,1.0,174,18
2023-01-02 08:11:00,2023-01-02 08:48:00,1.0,24.9,212,55
2023-01-02 09:32:00,2023-01-02 09:52:00,1.0,6.2,69,242
2023-01-02 09:12:00,2023-01-02 09:36:00,1.0,4.4,212,174
2023-01-02 09:10:00,2023-01-02 09:42:00,1.0,1.8,81,185
2023-01-02 09:17:00,2023-01-02 09:30:00,1.0,2.9,168,69
2023-01-02 09:50:00,2023-01-02 10:25:00,1.0,1.2,169,69
2023-01-02 09:18:00,2023-01-02 09:49:00,1.0,1.3,213,182
2023-01-02 10:23:00,2023-01-02 10:33:00,2.0,1.66,213,182
2023-01-02 10:16:00,2023-01-02 10:34:00,1.0,2.6,3,174
2023-01-02 10:40:00,2023-01-02 11:15:00,1.0,3.6,147,119
2023-01-02 10:53:00,2023-01-02 11:24:00,1.0,5.0,213,213
2023-01-02 11:55:00,2023-01-02 12:36:00,1.0,9.95,250,138
2023-01-02 11:46:00,2023-01-02 12:00:00,1.0,2.52,119,41
2023-01-02 11:52:00,2023-01-02 12:17:00,1.0,1.3,167,126
2023-01-02 12:23:00,2023-01-02 12:43:00,4.0,4.0,247,31
2023-01-02 12:14:00,2023-01-02 12:55:00,1.0,21.8,220,180
2023-01-02 12:49:00,2023-01-02 13:25:00,1.0,11.1,182,48
2023-01-02 12:40:00,2023-01-02 12:51:00,1.0,1.62,60,47
2023-01-02 12:27:00,2023-01-02 13:02:00,1.0,7.5,213,142
2023-01-02 12:15:00,2023-01-02 13:02:00,1.0,8.5,69,51
2023-01-02 12:48:00,2023-01-02 13:27:00,1.0,9.2,60,151
2023-01-02 12:57:00,2023-01-02 13:08:00,1.0,1.72,182,213
2023-01-02 13:36:00,2023-01-02 14:01:00,1.0,9.7,241,50
2023-01-02 13:49:00,2023-01-02 14:44:00,1.0,23.0,47,201
2023-01-02 14:00:00,2023-01-02 14:38:00,1.0,9.2,200,238
2023-01-02 14:19:00,2023-01-02 15:01:00,1.0,20.2,235,39
2023-01-02 14:09:00,2023-01-02 14:48:00,1.0,11.9,147,19
2023-01-02 14:22:00,2023-01-02 15:19:00,1.0,18.7,51,181
2023-01-02 14:47:00,2023-01-02 15:28:00,1.0,11.4,213,143
2023-01-02 14:42:00,2023-01-02 16:04:00,1.0,22.8,254,76
2023-01-02 15:08:00,2023-01-02 16:24:00,1.0,10.5,254,140
2023-01-02 16:42:00,2023-01-02 16:57:00,1.0,5.2,212,69
2023-01-02 16:15:00,2023-01-02 16:22:00,1.0,1.3,168,168
2023-01-02 16:36:00,2023-01-02 16:54:00,1.0,1.3,47,60
2023-01-02 17:34:00,2023-01-02 17:40:00,2.0,1.1,247,42
2023-01-02 17:13:00,2023-01-02 17:51:00,1.0,15.1,247,76
2023-01-02 17:25:00,2023-01-02 17:40:00,1.0,2.14,159,42
2023-01-02 18:26:00,2023-01-02 19:10:00,1.0,11.0,69,225
2023-01-02 20:52:00,2023-01-02 21:04:00,4.0,8.98,240,184
2023-01-02 21:14:00,2023-01-02 21:19:00,2.0,1.28,159,47
2023-01-02 22:25:00,2023-01-02 22:38:00,5.0,3.59,168,237
2023-01-03 00:14:00,2023-01-03 00:19:00,1.0,0.78,94,18
2023-01-03 02:04:00,2023-01-03 02:08:00,2.0,1.2,159,168
2023-01-03 02:57:00,2023-01-03 03:05:00,2.0,5.6,136,265
2023-01-03 02:16:00,2023-01-03 02:23:00,1.0,1.5,159,69
2023-01-03 03:25:00,2023-01-03 03:41:00,1.0,5.3,168,182
2023-01-03 04:43:00,2023-01-03 04:52:00,1.0,0.5,213,212
2023-01-03 05:36:00,2023-01-03 06:09:00,1.0,17.4,51,88
2023-01-03 05:37:00,2023-01-03 06:33:00,1.0,20.2,235,29
2023-01-03 05:46:00,2023-01-03 06:19:00,1.0,8.4,47,146
2023-01-03 05:02:00,2023-01-03 05:29:00,1.0,15.7,247,228
2023-01-03 05:01:00,2023-01-03 05:49:00,1.0,16.8,200,65
2023-01-03 05:04:00,2023-01-03 05:25:00,1.0,4.2,136,242
2023-01-03 06:52:00,2023-01-03 08:11:00,1.0,8.3,136,50
2023-01-03 06:53:00,2023-01-03 07:50:00,1.0,15.9,51,209
2023-01-03 06:59:00,2023-01-03 08:09:00,1.0,1.7,168,153
2023-01-03 06:00:00,2023-01-03 06:27:00,1.0,15.0,254,134
2023-01-03 06:17:00,2023-01-03 07:35:00,2.0,17.24,94,37
2023-01-03 06:16:00,2023-01-03 07:19:00,1.0,7.0,167,68
2023-01-03 06:47:00,2023-01-03 07:23:00,1.0,7.5,254,168
2023-01-03 06:20:00,2023-01-03 07:18:00,1.0,16.1,94,61
2023-01-03 06:36:00,2023-01-03 07:01:00,1.0,16.0,213,139
2023-01-03 06:53:00,2023-01-03 09:03:00,1.0,10.6,254,230
2023-01-03 06:26:00,2023-01-03 06:52:00,1.0,11.5,213,197
2023-01-03 06:09:00,2023-01-03 07:01:00,1.0,12.7,213,261
2023-01-03 07:43:00,2023-01-03 07:55:00,1.0,1.34,168,42
2023-01-03 07:22:00,2023-01-03 07:41:00,1.0,1.7,147,248
2023-01-03 07:38:00,2023-01-03 08:33:00,1.0,12.9,254,129
2023-01-03 07:16:00,2023-01-03 07:40:00,1.0,3.2,248,174
2023-01-03 07:56:00,2023-01-03 08:10:00,1.0,1.1,213,248
2023-01-03 07:52:00,2023-01-03 07:52:00,1.0,0.6,159,167
2023-01-03 07:28:00,2023-01-03 07:50:00,1.0,10.2,168,254
2023-01-03 07:42:00,2023-01-03 08:32:00,1.0,15.0,69,258
2023-01-03 08:59:00,2023-01-03 09:48:00,1.0,8.9,235,230
2023-01-03 08:45:00,2023-01-03 08:58:00,1.0,2.0,168,41
2023-01-03 08:27:00,2023-01-03 09:14:00,1.0,16.8,254,88
2023-01-03 08:03:00,2023-01-03 08:27:00,1.0,4.35,241,119
2023-01-03 08:28:00,2023-01-03 09:01:00,3.0,6.65,254,220
2023-01-03 08:33:00,2023-01-03 09:13:00,1.0,6.6,60,146
2023-01-03 08:22:00,2023-01-03 08:50:00,1.0,2.8,47,244
2023-01-03 08:48:00,2023-01-03 09:07:00,1.0,0.8,51,81
2023-01-03 08:24:00,2023-01-03 08:33:00,1.0,0.5,247,235
2023-01-03 08:57:00,2023-01-03 09:07:00,1.0,1.9,78,248
2023-01-03 08:21:00,2023-01-03 08:50:00,1.0,4.2,241,247
2023-01-03 08:17:00,2023-01-03 08:20:00,1.0,0.59,174,174
2023-01-03 08:55:00,2023-01-03 09:30:00,1.0,7.3,69,170
2023-01-03 08:07:00,2023-01-03 08:32:00,1.0,4.5,247,213
2023-01-03 08:54:00,2023-01-03 09:57:00,1.0,16.5,51,209
2023-01-03 09:17:00,2023-01-03 10:46:00,1.0,14.4,254,170
2023-01-03 09:32:00,2023-01-03 10:27:00,1.0,9.1,81,237
2023-01-03 09:02:00,2023-01-03 10:02:00,1.0,8.9,254,238
2023-01-03 09:14:00,2023-01-03 09:50:00,1.0,0.6,51,51
2023-01-03 09:19:00,2023-01-03 09:35:00,1.0,3.4,254,242
2023-01-03 09:43:00,2023-01-03 10:05:00,1.0,1.6,182,242
2023-01-03 09:15:00,2023-01-03 10:02:00,1.0,5.8,208,247
2023-01-03 09:18:00,2023-01-03 09:43:00,1.0,5.7,213,42
2023-01-03 10:00:00,2023-01-03 10:07:00,1.0,0.4,220,220
2023-01-03 10:29:00,2023-01-03 11:16:00,1.0,15.6,32,65
2023-01-03 10:35:00,2023-01-03 11:23:00,1.0,4.3,3,242
2023-01-03 10:04:00,2023-01-03 10:40:00,1.0,9.3,69,170
2023-01-03 10:21:00,2023-01-03 11:01:00,1.0,4.9,242,243
2023-01-03 10:08:00,2023-01-03 10:51:00,1.0,12.78,167,45
2023-01-03 10:26:00,2023-01-03 10:38:00,1.0,0.4,242,242
2023-01-03 10:58:00,2023-01-03 11:16:00,1.0,3.6,78,208
2023-01-03 10:02:00,2023-01-03 10:35:00,1.0,5.8,81,247
2023-01-03 10:45:00,2023-01-03 10:58:00,1.0,3.1,241,247
2023-01-03 11:24:00,2023-01-03 11:59:00,1.0,9.0,213,170
2023-01-03 11:07:00,2023-01-03 11:20:00,2.0,1.5,174,81
2023-01-03 11:32:00,2023-01-03 11:53:00,2.0,2.1,3,174
2023-01-03 11:08:00,2023-01-03 11:18:00,1.0,1.24,220,136
2023-01-03 11:35:00,2023-01-03 12:27:00,1.0,7.8,126,259
2023-01-03 11:20:00,2023-01-03 11:49:00,1.0,7.5,247,246
2023-01-03 11:31:00,2023-01-03 12:21:00,1.0,5.5,69,254
2023-01-03 11:07:00,2023-01-03 11:17:00,1.0,4.8,213,3
2023-01-03 11:19:00,2023-01-03 11:47:00,1.0,5.4,247,239
2023-01-03 11:31:00,2023-01-03 11:51:00,1.0,2.1,242,185
2023-01-03 11:56:00,2023-01-03 12:16:00,1.0,1.8,185,254
2023-01-03 11:39:00,2023-01-03 12:10:00,1.0,3.0,51,254
2023-01-03 11:30:00,2023-01-03 12:31:00,1.0,24.0,213,99
2023-01-03 12:55:00,2023-01-03 13:38:00,2.0,27.05,168,1
2023-01-03 12:50:00,2023-01-03 13:10:00,1.0,3.3,126,247
2023-01-03 12:38:00,2023-01-03 13:04:00,1.0,4.1,169,213
2023-01-03 12:06:00,2023-01-03 13:55:00,1.0,9.3,51,140
2023-01-03 12:26:00,2023-01-03 12:41:00,1.0,0.9,32,3
2023-01-03 13:39:00,2023-01-03 14:02:00,1.0,2.85,69,244
2023-01-03 13:20:00,2023-01-03 13:55:00,1.0,2.5,167,244
2023-01-03 13:17:00,2023-01-03 14:02:00,1.0,19.0,235,39
2023-01-03 13:17:00,2023-01-03 13:43:00,1.0,4.7,126,242
2023-01-03 13:05:00,2023-01-03 13:25:00,1.0,0.4,119,119
2023-01-03 13:21:00,2023-01-03 13:36:00,1.0,2.9,242,32
2023-01-03 13:01:00,2023-01-03 14:00:00,1.0,4.1,81,47
2023-01-03 13:02:00,2023-01-03 13:24:00,1.0,6.2,159,220
2023-01-03 13:07:00,2023-01-03 13:22:00,1.0,3.74,242,254
2023-01-03 14:06:00,2023-01-03 14:52:00,1.0,15.7,147,76
2023-01-03 14:59:00,2023-01-03 15:05:00,2.0,0.7,250,250
2023-01-03 14:45:00,2023-01-03 16:14:00,1.0,17.2,168,150
2023-01-03 14:33:00,2023-01-03 14:58:00,1.0,4.1,159,140
2023-01-03 14:06:00,2023-01-03 14:25:00,1.0,3.9,47,250
2023-01-03 14:41:00,2023-01-03 14:54:00,1.0,3.2,242,254
2023-01-03 15:38:00,2023-01-03 15:59:00,1.0,2.1,51,265
2023-01-03 15:47:00,2023-01-03 16:33:00,1.0,4.7,168,242
2023-01-03 15:38:00,2023-01-03 16:11:00,1.0,6.4,168,174
2023-01-03 15:44:00,2023-01-03 16:19:00,1.0,8.0,254,119
2023-01-03 15:35:00,2023-01-03 15:45:00,1.0,2.22,159,74
2023-01-03 16:25:00,2023-01-03 16:32:00,1.0,0.6,208,183
2023-01-03 16:39:00,2023-01-03 17:02:00,3.0,2.1,247,235
2023-01-03 16:07:00,2023-01-03 16:55:00,1.0,11.4,247,134
2023-01-03 17:23:00,2023-01-03 17:36:00,1.0,2.0,220,200
2023-01-03 17:59:00,2023-01-03 18:11:00,1.0,1.0,47,167
2023-01-03 17:53:00,2023-01-03 18:15:00,1.0,5.31,220,243
2023-01-03 17:18:00,2023-01-03 17:28:00,1.0,1.28,168,42
2023-01-03 17:43:00,2023-01-03 18:22:00,1.0,6.1,159,82
2023-01-03 17:16:00,2023-01-03 17:20:00,1.0,0.31,136,136
2023-01-03 18:38:00,2023-01-03 19:13:00,1.0,1.5,20,169
2023-01-03 18:25:00,2023-01-03 18:49:00,1.0,1.3,32,182
2023-01-03 18:51:00,2023-01-03 19:02:00,1.0,1.3,182,32
2023-01-03 18:04:00,2023-01-03 19:06:00,1.0,8.7,69,51
2023-01-03 19:20:00,2023-01-03 23:25:00,1.0,23.2,167,5
