time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-04 12:00:00,1.0,3.9,19.0,81.0,174.0,11.0
2023-01-04 13:00:00,1.0,3.35,29.0,159.0,213.0,10.0
2023-01-04 14:00:00,1.0,3.2,22.0,18.0,47.0,9.0
2023-01-04 15:00:00,1.0,3.3,37.0,47.0,32.0,5.0
2023-01-04 16:00:00,1.0,3.35,18.0,32.0,68.0,4.0
2023-01-04 17:00:00,1.0,4.7,22.0,185.0,51.0,5.0
2023-01-04 18:00:00,1.0,4.13,18.0,247.0,32.0,8.0
2023-01-04 19:00:00,1.0,7.5,27.0,51.0,74.0,8.0
2023-01-04 20:00:00,1.0,4.4,20.5,32.0,42.0,4.0
2023-01-04 21:00:00,1.0,11.315,720.0,78.0,132.0,2.0
2023-01-04 22:00:00,1.0,11.315,720.0,51.0,42.0,2.0
2023-01-04 23:00:00,1.0,1.6,7.0,147.0,74.0,3.0
2023-01-05 00:00:00,1.0,1.6,7.0,51.0,42.0,3.0
2023-01-05 01:00:00,1.0,9.13,32.0,168.0,254.0,1.0
2023-01-05 02:00:00,1.0,9.13,32.0,51.0,42.0,1.0
2023-01-05 03:00:00,1.0,9.13,32.0,51.0,42.0,1.0
2023-01-05 04:00:00,1.0,16.15,30.0,235.0,39.0,2.0
2023-01-05 05:00:00,1.0,4.3,20.5,78.0,65.0,8.0
2023-01-05 06:00:00,1.0,13.65,43.5,51.0,33.0,8.0
2023-01-05 07:00:00,1.0,3.6500000000000004,44.5,47.0,47.0,10.0
2023-01-05 08:00:00,1.0,3.9,30.0,3.0,75.0,11.0
2023-01-05 09:00:00,1.0,2.8,22.0,126.0,78.0,9.0
2023-01-05 10:00:00,1.0,2.55,23.5,51.0,18.0,12.0
2023-01-05 11:00:00,1.0,4.1,26.0,20.0,55.0,11.0
2023-01-05 12:00:00,1.0,2.25,17.0,247.0,167.0,16.0
2023-01-05 13:00:00,1.0,2.7,14.0,51.0,18.0,15.0
2023-01-05 14:00:00,1.0,4.75,30.0,20.0,60.0,8.0
2023-01-05 15:00:00,1.0,1.9,17.0,185.0,133.0,6.0
2023-01-05 16:00:00,1.0,2.39,27.5,136.0,7.0,10.0
2023-01-05 17:00:00,1.0,6.1,31.0,168.0,48.0,5.0
2023-01-05 18:00:00,1.0,0.5,1.0,167.0,167.0,1.0
2023-01-05 19:00:00,1.0,5.4,26.0,47.0,186.0,2.0
2023-01-05 20:00:00,1.0,5.4,26.0,51.0,42.0,2.0
2023-01-05 21:00:00,1.0,2.8,28.5,32.0,42.0,2.0
2023-01-05 22:00:00,1.0,4.32,12.0,208.0,164.0,2.0
2023-01-05 23:00:00,1.0,6.1,21.0,136.0,213.0,1.0
2023-01-06 00:00:00,2.0,6.6,13.0,213.0,41.0,1.0
2023-01-06 01:00:00,2.0,18.99,24.0,235.0,265.0,1.0
2023-01-06 02:00:00,2.0,18.99,24.0,51.0,42.0,1.0
2023-01-06 03:00:00,1.0,7.21,13.0,147.0,259.0,1.0
2023-01-06 04:00:00,1.0,23.3,34.0,235.0,39.0,1.0
2023-01-06 05:00:00,1.0,13.8,41.0,51.0,45.0,5.0
2023-01-06 06:00:00,1.0,12.45,34.0,18.0,51.0,6.0
2023-01-06 07:00:00,1.0,3.8,31.0,126.0,18.0,5.0
2023-01-06 08:00:00,1.0,8.33,32.0,78.0,75.0,7.0
2023-01-06 09:00:00,1.0,3.7,39.0,69.0,78.0,11.0
2023-01-06 10:00:00,1.0,4.8,31.0,242.0,182.0,9.0
2023-01-06 11:00:00,1.0,2.8,23.0,18.0,142.0,7.0
2023-01-06 12:00:00,1.0,5.89,29.0,32.0,242.0,9.0
2023-01-06 13:00:00,1.0,1.7,18.0,242.0,132.0,5.0
2023-01-06 14:00:00,1.0,5.3,31.0,47.0,47.0,7.0
2023-01-06 15:00:00,1.0,4.9,23.0,51.0,5.0,7.0
2023-01-06 16:00:00,1.0,6.65,46.0,168.0,42.0,8.0
2023-01-06 17:00:00,1.0,1.95,21.0,241.0,18.0,4.0
2023-01-06 18:00:00,1.0,3.9,18.0,168.0,7.0,7.0
